origem,destino,tipo,quando,motivo
"https://felipevillaca.com/","https://drfelipevillaca.com.br/",301,agora,"Home para home. Consolida a marca no dominio novo."
"https://felipevillaca.com/abdominoplastia","https://drfelipevillaca.com.br/blog/neo-umbigo-abdominoplastia-natural-dr-felipe-villaca/",301,agora,"Mesmo tema. A pagina legada tem 241 palavras; o artigo cobre tecnica e cicatriz."
"https://felipevillaca.com/aumento-dos-seios","https://drfelipevillaca.com.br/blog/protese-de-recuperacao-rapida-existe-mesmo-dr-felipe-villaca/",301,agora,"Unico conteudo novo sobre protese mamaria. Casamento parcial: revisar quando houver pagina de mamoplastia."
"https://felipevillaca.com/en","https://drfelipevillaca.com.br/",301,agora,"Duplicata: /en serve o mesmo texto em portugues, nao e traducao. Mesmo destino de /."
"https://felipevillaca.com/en/na-midia","https://drfelipevillaca.com.br/",301,agora,"Duplicata: /en serve o mesmo texto em portugues, nao e traducao. Mesmo destino de /na-midia."
"https://felipevillaca.com/lipedema","https://drfelipevillaca.com.br/blog/tratamento-do-lipedema-nas-pernas-como-funciona-a-cirurgia/",301,agora,"Mesmo tema, e o artigo novo tem mais conteudo que a pagina legada (245 palavras)."
"https://felipevillaca.com/lipoescultura","https://drfelipevillaca.com.br/blog/cirurgia-de-contorno-corporal-avancado-com-dr-felipe-villaca/",301,agora,"Contorno corporal e o tema mais proximo publicado hoje."
"https://felipevillaca.com/mastopexia","https://drfelipevillaca.com.br/#procedimentos",301,agora,"Sem equivalente no dominio novo. Vai para a secao de procedimentos ate existir pagina propria."
"https://felipevillaca.com/na-midia","https://drfelipevillaca.com.br/",301,agora,"Apenas 60 palavras e a secao ""Na Midia"" foi retirada da home nova. Sem destino melhor que a home."
"https://felipevillaca.com/remodelamento-gluteo","https://drfelipevillaca.com.br/#procedimentos",301,agora,"PRIORIDADE: a pagina legada indica ""mamas flacidas, assimetricas ou pequenas"" numa pagina de gluteo - texto de mama colado por engano. O 301 tira o erro de circulacao."
"https://felipevillaca.com/tec","https://drfelipevillaca.com.br/",301,agora,"Pagina sem H1, sem description e com titulo ""Tec"" - rascunho publicado por engano. Redireciona para nao deixar URL orfa indexada."
"https://felipevillaca.com/valores","https://drfelipevillaca.com.br/#contato",301,agora,"Pagina de valores. O site novo trata orcamento na conversa, entao o destino util e o contato."
"https://felipevillaca.com/a-medicina-e-para-os-humanos","https://drfelipevillaca.com.br/",301,depois,"525 palavras, artigo institucional. Recriar no blog se ainda representa o posicionamento."
"https://felipevillaca.com/en/a-medicina-e-para-os-humanos","https://drfelipevillaca.com.br/",301,depois,"Duplicata: /en serve o mesmo texto em portugues, nao e traducao. Mesmo destino de /a-medicina-e-para-os-humanos."
"https://felipevillaca.com/en/remodelamento-costal-conheca-a-tecnica-que-ajuda-a-afinar-a-cintura","https://drfelipevillaca.com.br/#procedimentos",301,depois,"Duplicata: /en serve o mesmo texto em portugues, nao e traducao. Mesmo destino de /remodelamento-costal-conheca-a-tecnica-que-ajuda-a-afinar-a-cintura."
"https://felipevillaca.com/en/terapia-hiperbarica-acelera-cicatrizacoes-de-cirurgias","https://drfelipevillaca.com.br/",301,depois,"Duplicata: /en serve o mesmo texto em portugues, nao e traducao. Mesmo destino de /terapia-hiperbarica-acelera-cicatrizacoes-de-cirurgias."
"https://felipevillaca.com/remodelamento-costal-conheca-a-tecnica-que-ajuda-a-afinar-a-cintura","https://drfelipevillaca.com.br/#procedimentos",301,depois,"616 palavras, a maior pagina do site legado depois dos artigos. Recriar como artigo no blog novo ANTES de redirecionar; senao troca conteudo por ancora e o Google pode ler como perda."
"https://felipevillaca.com/terapia-hiperbarica-acelera-cicatrizacoes-de-cirurgias","https://drfelipevillaca.com.br/",301,depois,"651 palavras. Recriar com o titulo corrigido: a URL atual afirma que a tecnica ""acelera cicatrizacoes"", efeito clinico universal que a Res. CFM 2.336/2023 veda."
